ID,N_VICTIMAS,FECHA,AAAA,MM,DD,HORA,HH,LUGAR_DEL_HECHO,TIPO_DE_CALLE,Calle,Altura,Cruce,Dirección Normalizada,COMUNA,pos x,pos y,PARTICIPANTES,VICTIMA,ACUSADO
2017-0013,1,2017-01-27,2017,1,27,,1970-01-01 00:00:00.000000007,IRIARTE 3055,AVENIDA,"IRIARTE, GRAL. AV.",3055.0,"Iglesia Sagrado Corazón, Avenida General Iriarte, Barracas, Buenos Aires, Comuna 4, Ciudad Autónoma de Buenos Aires, 1279, Argentina","IRIARTE, GRAL. AV. 3055",4,-58.38972622,-34.65098981,PEATON-CARGAS,PEATON,CARGAS
2017-0014,1,2017-01-28,2017,1,28,,1970-01-01 00:00:00.000000008,AV. DONADO Y ARIAS,AVENIDA,DONADO,"Avenida General Paz, Saavedra, Buenos Aires, Comuna 12, Ciudad Autónoma de Buenos Aires, C1430DAK, Argentina",ARIAS,DONADO y ARIAS,12,-58.49185972,-34.55046754,MULTIPLE,MOTO,MULTIPLE
2017-0015,1,2017-02-02,2017,2,2,,1970-01-01 00:00:00.000000015,CORDOBA AV. Y CALLAO,AVENIDA,CORDOBA AV.,"801, Avenida Callao, Recoleta, Buenos Aires, Comuna 2, Ciudad Autónoma de Buenos Aires, C1060ABD, Argentina",CALLAO AV.,CORDOBA AV. y CALLAO AV.,2,-58.39293417,-34.59963642,PEATON-AUTO,PEATON,AUTO
2017-0016,1,2017-02-03,2017,2,3,,1970-01-01 00:00:00.000000005,"AU 25 DE MAYO, KILOMETRO 8.3, SENTIDO HACIA PROVINCIA DE BUENOS AIRES, C.A.B.A.",AUTOPISTA,AUTOPISTA 25 DE MAYO,"Autopista 25 de Mayo, Constitución, Buenos Aires, Comuna 1, Ciudad Autónoma de Buenos Aires, C1046AAD, Argentina","Autopista 25 de Mayo, Constitución, Buenos Aires, Comuna 1, Ciudad Autónoma de Buenos Aires, C1046AAD, Argentina",AUTOPISTA 25 DE MAYO KM. 8.3,1,-58.38099494,-34.62288231,MOTO-CARGAS,MOTO,CARGAS
2017-0017,1,2017-02-06,2017,2,6,,1970-01-01 00:00:00.000000008,AV. JUAN B JUSTO Y PARAGUAY,AVENIDA,"JUSTO, JUAN B. AV.","Metrobus Juan Bautista Justo, Palermo Hollywood, Palermo, Buenos Aires, Distrito Audiovisual, Comuna 14, Ciudad Autónoma de Buenos Aires, C1425FSC, Argentina",PARAGUAY,"JUSTO, JUAN B. AV. y PARAGUAY",14,-58.429012,-34.58095431,MOTO-AUTO,MOTO,AUTO
2017-0018,1,2017-02-09,2017,2,9,,1970-01-01 00:00:00.000000007,AV. GRAL. PAZ Y AV. DE LOS CORRALES,GRAL PAZ,"PAZ, GRAL. AV.","Avenida de los Corrales, Mataderos, Buenos Aires, Comuna 9, Ciudad Autónoma de Buenos Aires, C1440AUN, Argentina",DE LOS CORRALES AV.,"PAZ, GRAL. AV. y DE LOS CORRALES AV.",9,-58.50877521,-34.66977709,MOTO-AUTO,MOTO,AUTO
2017-0021,1,2017-02-18,2017,2,18,,1970-01-01 00:00:00.000000005,SARMIENTO Y LIBERTAD,CALLE,SARMIENTO,"1200, Sarmiento, Microcentro, San Nicolás, Buenos Aires, Comuna 1, Ciudad Autónoma de Buenos Aires, C1033AAO, Argentina",LIBERTAD,SARMIENTO y LIBERTAD,1,-58.38362373,-34.60509972,MOTO-PASAJEROS,MOTO,PASAJEROS
2017-0024,1,2017-02-23,2017,2,23,,1970-01-01 00:00:00.000000020,AV. RIVADAVIA 7121,AVENIDA,RIVADAVIA AV.,7121.0,"Galicia, 7121, Avenida Rivadavia, Flores, Buenos Aires, Comuna 7, Ciudad Autónoma de Buenos Aires, C1406GMB, Argentina",RIVADAVIA AV. 7121,7,-58.46589308,-34.62955795,PEATON-PASAJEROS,PEATON,PASAJEROS
2017-0025,1,2017-02-24,2017,2,24,,1970-01-01 00:00:00.000000017,AV. FERNANDEZ DE LA CRUZ Y RIVERA INDARTE,AVENIDA,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.","Avenida General Francisco Fernández de La Cruz, Flores, Buenos Aires, Distrito del Deporte, Comuna 7, Ciudad Autónoma de Buenos Aires, C1437AYD, Argentina",RIVERA INDARTE AV.,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. y RIVERA INDARTE AV.",7,-58.43614426,-34.6542464,MOTO-SD,MOTO,SD
2017-0026,2,2017-02-26,2017,2,26,,1970-01-01 00:00:00.000000005,AV. PERITO MORENO Y FOURNIER,AVENIDA,"MORENO, PERITO AV.","850, Avenida Perito Moreno, Nueva Pompeya, Buenos Aires, Comuna 4, Ciudad Autónoma de Buenos Aires, C1437, Argentina",FOURNIER,"MORENO, PERITO AV. y FOURNIER",4,-58.41842777,-34.64979057,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO
2017-0027,1,2017-02-26,2017,2,26,,1970-01-01 00:00:00.000000021,AV. CASEROS 1429,AVENIDA,CASEROS AV.,1429.0,"259, Avenida Caseros, Constitución, Buenos Aires, Comuna 1, Ciudad Autónoma de Buenos Aires, C1283AAN, Argentina",CASEROS AV. 1429,1,-58.38332245,-34.6319325,PEATON-AUTO,PEATON,AUTO
2017-0028,1,2017-02-28,2017,2,28,,1970-01-01 00:00:00.000000009,AV. GAONA Y FRAGATA SARMIENTO,AVENIDA,GAONA AV.,"1100, Fragata Presidente Sarmiento, Caballito, Buenos Aires, Comuna 6, Ciudad Autónoma de Buenos Aires, C1405AQL, Argentina",FRAGATA PRES. SARMIENTO,GAONA AV. y FRAGATA PRES. SARMIENTO,6,-58.45475488,-34.61196327,PEATON-AUTO,PEATON,AUTO
2017-0029,1,2017-03-07,2017,3,7,,1970-01-01 00:00:00.000000002,MOZART Y TANDIL,CALLE,MOZART,"1001, Mozart, Parque Avellaneda, Buenos Aires, Comuna 9, Ciudad Autónoma de Buenos Aires, C1407HGR, Argentina",TANDIL,MOZART y TANDIL,9,-58.48501341,-34.64742455,SD-AUTO,SD,AUTO
2017-0030,1,2017-03-07,2017,3,7,,1970-01-01 00:00:00.000000008,MOZART Y COLECTORA AV. TTE. LUIS J DELLEPIANE,AVENIDA,MOZART,"4200, Teniente General Luís Dellepiane, Parque Avellaneda, Buenos Aires, Distrito del Deporte, Comuna 9, Ciudad Autónoma de Buenos Aires, C1407IVT, Argentina",AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,MOZART y AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,9,-58.47010988,-34.65872088,AUTO-PASAJEROS,AUTO,PASAJEROS
2017-0031,1,2017-03-11,2017,3,11,,1970-01-01 00:00:00.000000001,24 DE NOVIEMBRE Y PAVON ,CALLE,24 DE NOVIEMBRE,"1501, 24 de Noviembre, San Cristóbal, Buenos Aires, Comuna 3, Ciudad Autónoma de Buenos Aires, 1242, Argentina",PAVON,24 DE NOVIEMBRE y PAVON,3,-58.4099756,-34.62873635,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO
2017-0032,1,2017-03-12,2017,3,12,,1970-01-01 00:00:00.000000005,AV. GRAL. PAZ Y PEDRO DE MENDOZA,GRAL PAZ,"PAZ, GRAL. AV.","Villa Lugano, Buenos Aires, Comuna 8, Ciudad Autónoma de Buenos Aires, C1439EBA, Argentina",LOS CEDROS,"PAZ, GRAL. AV. y LOS CEDROS",8,-58.48892175,-34.68359163,AUTO-AUTO,AUTO,AUTO
2017-0033,1,2017-03-12,2017,3,12,,1970-01-01 00:00:00.000000007,AV. GRAL. PAZ KM. 10,GRAL PAZ,"PAZ, GRAL. AV.","4900, Ricardo Gutiérrez Sur, Villa Devoto, Buenos Aires, Comuna 11, Ciudad Autónoma de Buenos Aires, B1674, Argentina","GUTIERREZ, RICARDO","PAZ, GRAL. AV. y GUTIERREZ, RICARDO",11,-58.52466448,-34.60325478,AUTO-AUTO,AUTO,AUTO
2017-0034,1,2017-03-13,2017,3,13,,1970-01-01 00:00:00.000000007,GODOY CRUZ 2651,CALLE,GODOY CRUZ,2651.0,"Almacén de Bebidas, Godoy Cruz, Palermo Pacífico, Palermo, Buenos Aires, Comuna 14, Ciudad Autónoma de Buenos Aires, C1425FQJ, Argentina",GODOY CRUZ 2651,14,-58.42554218,-34.57929036,PEATON-AUTO,PEATON,AUTO
2017-0035,3,2017-03-23,2017,3,23,,1970-01-01 00:00:00.000000005,AV. DR. TRISTAN ACHAVAL RODRIGUEZ Y BLVD. AZUCENA VILLAFLOR,AVENIDA,"ACHAVAL RODRIGUEZ, T., DR. AV.","Avenida Intendente Hernán M. Giralt, Puerto Madero, Buenos Aires, Comuna 1, Ciudad Autónoma de Buenos Aires, C1107BLF, Argentina","VILLAFLOR, AZUCENA","ACHAVAL RODRIGUEZ, T., DR. AV. y VILLAFLOR, AZUCENA",1,-58.35881506,-34.61113641,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO
2017-0036,2,2017-03-29,2017,3,29,,1970-01-01 00:00:00.000000018,CURUPAYTI Y COLECTORA AV. GRAL. PAZ,GRAL PAZ,"PAZ, GRAL. AV.","5699, Campana, Villa Pueyrredón, Buenos Aires, Comuna 12, Ciudad Autónoma de Buenos Aires, B1650IQF, Argentina",CAMPANA,"PAZ, GRAL. AV. y CAMPANA",12,-58.51452347,-34.58159762,MOTO-PASAJEROS,MOTO,PASAJEROS
2017-0037,1,2017-03-31,2017,3,31,,1970-01-01 00:00:00.000000003,AV. INDEPENDENCIA Y VIRREY CEVALLOS,AVENIDA,INDEPENDENCIA AV.,"1600, Avenida Independencia, Constitución, Buenos Aires, Comuna 1, Ciudad Autónoma de Buenos Aires, C1200ABP, Argentina","CEVALLOS, VIRREY","INDEPENDENCIA AV. y CEVALLOS, VIRREY",1,-58.38896772,-34.61799615,MOTO-CARGAS,MOTO,CARGAS
2017-0038,1,2017-04-01,2017,4,1,,1970-01-01 00:00:00.000000019,AV. CASTAÑARES Y LAUTARO,AVENIDA,CASTA?ARES AV.,"2202, Avenida Castañares, Barrio Rivadavia I, Flores, Buenos Aires, Comuna 7, Ciudad Autónoma de Buenos Aires, 1047, Argentina",LAUTARO,CASTAÃ‘ARES AV. y LAUTARO,7,-58.44516857,-34.64363363,MOTO-AUTO,MOTO,AUTO
2017-0040,1,2017-04-03,2017,4,3,,1970-01-01 00:00:00.000000009,CAMINO CIUDAD UNUVERSITARIA Y AV. TTE. GUIRALDES,AVENIDA,"GUIRALDES, INT.",2699.0,"Intendente Güiraldes, Belgrano, Buenos Aires, Comuna 13, Ciudad Autónoma de Buenos Aires, C1428EHA, Argentina","GUIRALDES, INT. 2699",13,-58.43834197,-34.54560369,MULTIPLE,AUTO,MULTIPLE
2017-0041,1,2017-04-03,2017,4,3,,1970-01-01 00:00:00.000000023,BALDOMERO FERNANDEZ MORENO 2186,CALLE,"FERNANDEZ MORENO, BALDOMERO",2186.0,"2194, Baldomero Fernández Moreno, Flores, Buenos Aires, Comuna 7, Ciudad Autónoma de Buenos Aires, C1406GZB, Argentina","FERNANDEZ MORENO, BALDOMERO 2186",7,-58.45485084,-34.63531854,MOTO-AUTO,MOTO,AUTO
2017-0042,1,2017-04-10,2017,4,10,,1970-01-01 00:00:00.000000009,AV. LEOPOLDO LUGONES PKM 6900,GRAL PAZ,"LUGONES, LEOPOLDO AV.",,,"LUGONES, LEOPOLDO AV.",14,,,MOTO-CARGAS,MOTO,CARGAS
2017-0045,1,2017-04-14,2017,4,14,,1970-01-01 00:00:00.000000006,NOGOYA 5940,CALLE,NOGOYA,5940.0,"5932,5934, Nogoyá, Versalles, Buenos Aires, Comuna 10, Ciudad Autónoma de Buenos Aires, C1408CBJ, Argentina",NOGOYA 5940,10,-58.52449285,-34.62454175,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO
2017-0047,1,2017-04-23,2017,4,23,,1970-01-01 00:00:00.000000006,AV. ARGENTINA Y AV. CORVALAN,AVENIDA,ARGENTINA AV.,"4899, Avenida Argentina, Villa Lugano, Buenos Aires, Distrito del Deporte, Comuna 8, Ciudad Autónoma de Buenos Aires, C1439EQD, Argentina",CORVALAN,ARGENTINA AV. y CORVALAN,8,-58.46713742,-34.6719879,MOTO-AUTO,MOTO,AUTO
2017-0049,1,2017-04-27,2017,4,27,,1970-01-01 00:00:00.000000018,AV. FERNANDEZ DE LA CRUZ Y VARELA,AVENIDA,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.","Avenida General Francisco Fernández de La Cruz, Villa Soldati, Buenos Aires, Distrito del Deporte, Comuna 8, Ciudad Autónoma de Buenos Aires, C1437BJP, Argentina",VARELA AV.,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. y VARELA AV.",8,-58.43850413,-34.65554754,PEATON-PASAJEROS,PEATON,PASAJEROS
2017-0050,2,2017-04-28,2017,4,28,,1970-01-01 00:00:00.000000011,AU PERITO MORENO Y RAMAL ENLACE AU1/AU6,AUTOPISTA,AUTOPISTA PERITO MORENO,,,,9,,,MOTO-CARGAS,MOTO,CARGAS
2017-0051,1,2017-05-01,2017,5,1,,1970-01-01 00:00:00.000000003,AU DELLEPIANE 2400,AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,,,,7,,,AUTO-AUTO,AUTO,AUTO
2017-0052,1,2017-05-05,2017,5,5,,1970-01-01 00:00:00.000000003,AV. GRAL. PAZ Y GOLETA JULIA,GRAL PAZ,"PAZ, GRAL. AV.","Avenida General Paz, Villa Lugano, Buenos Aires, Comuna 8, Ciudad Autónoma de Buenos Aires, C1439HWJ, Argentina",GOLETA SANTA CRUZ,"PAZ, GRAL. AV. y GOLETA SANTA CRUZ",8,-58.49413799,-34.68095739,PEATON-CARGAS,PEATON,CARGAS
2017-0053,1,2017-05-05,2017,5,5,,1970-01-01 00:00:00.000000020,VIEYTES Y VILLARINO,CALLE,VIEYTES,"2099, Villarino, Barracas, Buenos Aires, Distrito del Diseño, Comuna 4, Ciudad Autónoma de Buenos Aires, C1293ACE, Argentina",VILLARINO,VIEYTES y VILLARINO,4,-58.37547846,-34.65326075,MOTO-CARGAS,MOTO,CARGAS
2017-0054,1,2017-05-07,2017,5,7,,1970-01-01 00:00:00.000000021,AV. DE LOS CONSTITUYENTES Y PEDRO MORAN,AVENIDA,DE LOS CONSTITUYENTES AV.,"3800, Avenida de los Constituyentes, Agronomía, Buenos Aires, Comuna 15, Ciudad Autónoma de Buenos Aires, C1431EGH, Argentina","MORAN, PEDRO","DE LOS CONSTITUYENTES AV. y MORAN, PEDRO",15,-58.48680218,-34.58689719,MOTO-AUTO,MOTO,AUTO
2017-0055,1,2017-05-09,2017,5,9,,1970-01-01 00:00:00.000000008,AV. DE LOS CONSTITUYENTES 4900,AVENIDA,DE LOS CONSTITUYENTES AV.,4900.0,"2178, Griveo, Villa Pueyrredón, Buenos Aires, Comuna 12, Ciudad Autónoma de Buenos Aires, C1431DOD, Argentina",DE LOS CONSTITUYENTES AV. 4900,12,-58.49563989,-34.57962262,AUTO-AUTO,AUTO,AUTO
2017-0058,1,2017-05-09,2017,5,9,,1970-01-01 00:00:00.000000023,AV. CORDOBA Y LIBERTAD,AVENIDA,CORDOBA AV.,"Libertad, Retiro, Buenos Aires, Comuna 1, Ciudad Autónoma de Buenos Aires, C1012AAO, Argentina",LIBERTAD,CORDOBA AV. y LIBERTAD,1,-58.38403232,-34.5991594,PEATON-MOTO,PEATON,MOTO
2017-0059,1,2017-05-11,2017,5,11,,1970-01-01 00:00:00.000000009,BRASIL Y LIMA,CALLE,BRASIL,"1601, Lima Oeste, Constitución, Buenos Aires, Comuna 1, Ciudad Autónoma de Buenos Aires, 1137, Argentina",LIMA,BRASIL y LIMA,1,-58.38223382,-34.62693865,PEATON-PASAJEROS,PEATON,PASAJEROS
2017-0060,1,2017-05-13,2017,5,13,,1970-01-01 00:00:00.000000007,AV. ESCALADA Y AV. FERNANDEZ DE LA CRUZ,AVENIDA,ESCALADA AV.,"Villa Lugano, Buenos Aires, Distrito del Deporte, Comuna 8, Ciudad Autónoma de Buenos Aires, C1439, Argentina","FERNANDEZ DE LA CRUZ, F., GRAL. AV.","ESCALADA AV. y FERNANDEZ DE LA CRUZ, F., GRAL. AV.",8,-58.45966521,-34.67323292,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO
2017-0061,1,2017-05-15,2017,5,15,,1970-01-01 00:00:00.000000013,PARAGUAY Y AV. CALLAO ,AVENIDA,PARAGUAY,"1800, Paraguay, Recoleta, Buenos Aires, Comuna 2, Ciudad Autónoma de Buenos Aires, C1060ABD, Argentina",CALLAO AV.,PARAGUAY y CALLAO AV.,2,-58.39303911,-34.59871111,PEATON-MOTO,PEATON,MOTO
2017-0062,1,2017-05-15,2017,5,15,,1970-01-01 00:00:00.000000016,AV. JUAN B JUSTO Y SAN BLAS,AVENIDA,"JUSTO, JUAN B. AV.","Metrobus Juan Bautista Justo, Liniers, Buenos Aires, Comuna 9, Ciudad Autónoma de Buenos Aires, C1408AKG, Argentina",SAN BLAS,"JUSTO, JUAN B. AV. y SAN BLAS",10,-58.51262106,-34.63395999,MOTO-CARGAS,MOTO,CARGAS
2017-0063,1,2017-05-17,2017,5,17,,1970-01-01 00:00:00.000000010,CHILE Y AV. 9 DE JULIO,AVENIDA,CHILE,"Avenida 9 de Julio, Monserrat, Buenos Aires, Comuna 1, Ciudad Autónoma de Buenos Aires, 1073, Argentina",9 DE JULIO AV.,CHILE y 9 DE JULIO AV.,1,-58.38118367,-34.61646839,PEATON-PASAJEROS,PEATON,PASAJEROS
2017-0064,1,2017-05-20,2017,5,20,,1970-01-01 00:00:00.000000005,MAIPU Y PERON,CALLE,MAIPU,"201, Maipú, Microcentro, San Nicolás, Buenos Aires, Comuna 1, Ciudad Autónoma de Buenos Aires, C1006, Argentina","PERON, JUAN DOMINGO, TTE. GENERAL","MAIPU y PERON, JUAN DOMINGO, TTE. GENERAL",1,-58.37653284,-34.60582475,CARGAS-AUTO,CARGAS,AUTO
2017-0065,1,2017-05-22,2017,5,22,,1970-01-01 00:00:00.000000016,AV. SUAREZ Y HERRERA,AVENIDA,SUAREZ AV.,"1901, Avenida Suárez, Barracas, Buenos Aires, Distrito del Diseño, Comuna 4, Ciudad Autónoma de Buenos Aires, 1274, Argentina",HERRERA,SUAREZ AV. y HERRERA,4,-58.37709334,-34.64035082,BICICLETA-CARGAS,BICICLETA,CARGAS
2017-0066,1,2017-05-22,2017,5,22,,1970-01-01 00:00:00.000000018,AV. SAN MARTIN Y FRAGATA SARMIENTO,AVENIDA,SAN MARTIN AV.,"Metrobús San Martín, Villa General Mitre, Buenos Aires, Comuna 11, Ciudad Autónoma de Buenos Aires, C1416DJH, Argentina",FRAGATA PRES. SARMIENTO,SAN MARTIN AV. y FRAGATA PRES. SARMIENTO,15,-58.46002142,-34.60409469,PEATON-PASAJEROS,PEATON,PASAJEROS
2017-0067,1,2017-05-23,2017,5,23,,1970-01-01 00:00:00.000000002,AV. DIRECTORIO Y AV. JOSE MARIA MORENO,AVENIDA,DIRECTORIO AV.,"502, Avenida Directorio, Parque Chacabuco, Buenos Aires, Comuna 7, Ciudad Autónoma de Buenos Aires, C1424CIS, Argentina","MORENO, JOSE MARIA AV.","DIRECTORIO AV. y MORENO, JOSE MARIA AV.",6,-58.4338197,-34.62801894,MOTO-CARGAS,MOTO,CARGAS
2017-0068,1,2017-05-27,2017,5,27,,1970-01-01 00:00:00.000000019,AV. TTE. FRANCISCO RABANAL 2950,AVENIDA,"RABANAL, FRANCISCO, INTENDENTE AV.",2950.0,"2946, Avenida Intendente Francisco Rabanal, Villa Soldati, Buenos Aires, Distrito del Deporte, Comuna 8, Ciudad Autónoma de Buenos Aires, C1437CEE, Argentina","RABANAL, FRANCISCO, INTENDENTE AV. 2950",8,-58.43580656,-34.66437532,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO
2017-0069,1,2017-05-24,2017,5,24,,1970-01-01 00:00:00.000000014,AV. GRAL. PAZ Y ULRICO SCHMIDL,GRAL PAZ,"PAZ, GRAL. AV.","12399, Avenida General Paz, Mataderos, Lomas del Mirador, Partido de La Matanza, Buenos Aires, B1752, Argentina","SCHMIDL, ULRICO","PAZ, GRAL. AV. y SCHMIDL, ULRICO",9,-58.52173071,-34.65997463,MOTO-SD,MOTO,SD
2017-0070,1,2017-05-30,2017,5,30,,1970-01-01 00:00:00.000000013,NUEVA YORK  3696,CALLE,NUEVA YORK,3696.0,"Belredere, Nueva York, Villa Devoto, Buenos Aires, Comuna 11, Ciudad Autónoma de Buenos Aires, 1419, Argentina",NUEVA YORK 3696,11,-58.50791763,-34.59804273,PEATON-AUTO,PEATON,AUTO
2017-0072,1,2017-06-03,2017,6,3,,1970-01-01 00:00:00.000000023,AV. DE LOS CONSTITUYENTES Y VALLEJOS,AVENIDA,DE LOS CONSTITUYENTES AV.,"4500, Avenida de los Constituyentes, Villa Pueyrredón, Buenos Aires, Comuna 12, Ciudad Autónoma de Buenos Aires, C1431EGH, Argentina",VALLEJOS,DE LOS CONSTITUYENTES AV. y VALLEJOS,12,-58.49175088,-34.58226957,AUTO-AUTO,AUTO,AUTO
2017-0073,1,2017-06-04,2017,6,4,,1970-01-01 00:00:00.000000009,AV. CORRIENTES Y ECUADOR,AVENIDA,CORRIENTES AV.,"3000, Avenida Corrientes, Abasto, Balvanera, Buenos Aires, Comuna 3, Ciudad Autónoma de Buenos Aires, C1193AAO, Argentina",ECUADOR,CORRIENTES AV. y ECUADOR,3,-58.40781467,-34.60425669,MOTO-AUTO,MOTO,AUTO
2017-0074,1,2017-06-04,2017,6,4,,1970-01-01 00:00:00.000000012,CASCO 133,CALLE,CASCO,133.0,"129, Casco, Liniers, Buenos Aires, Comuna 9, Ciudad Autónoma de Buenos Aires, C1408ABO, Argentina",CASCO 133,9,-58.52567073,-34.63787791,SD-SD,SD,SD
2017-0075,1,2017-06-12,2017,6,12,,1970-01-01 00:00:00.000000022,AV. DE MAYO Y AV. 9 DE JULIO,AVENIDA,DE MAYO AV.,"Avenida 9 de Julio, Monserrat, Buenos Aires, Comuna 1, Ciudad Autónoma de Buenos Aires, 1076, Argentina",9 DE JULIO AV.,DE MAYO AV. y 9 DE JULIO AV.,1,-58.381542,-34.60906385,PEATON-MOTO,PEATON,MOTO
2017-0076,1,2017-06-13,2017,6,13,,1970-01-01 00:00:00.000000014,AV. RAMON CASTILLO Y CALLE 12,AVENIDA,"CASTILLO, RAMON S., PRES. AV.","Paseo del Bajo, Recoleta, Buenos Aires, Comuna 2, Ciudad Autónoma de Buenos Aires, C1104AMT, Argentina",CALLE 12 (NO OFICIAL),"CASTILLO, RAMON S., PRES. AV. y CALLE 12 (NO OFICIAL)",2,-58.38526125,-34.5780581,PEATON-CARGAS,PEATON,CARGAS
2017-0077,1,2017-06-17,2017,6,17,,1970-01-01 00:00:00.000000023,FRAY JUSTO SANTAMARIA DE ORO 1930,CALLE,FRAY JUSTO SANTAMARIA DE ORO,1930.0,"1924, Fray Justo Santa María de Oro, Palermo Hollywood, Palermo, Buenos Aires, Distrito Audiovisual, Comuna 14, Ciudad Autónoma de Buenos Aires, C1414DBC, Argentina",FRAY JUSTO SANTAMARIA DE ORO 1930,14,-58.42934104,-34.58451712,MOTO-CARGAS,MOTO,CARGAS
2017-0079,1,2017-06-19,2017,6,19,,1970-01-01 00:00:00.000000016,MEXICO Y DEAN FUNES,CALLE,MEXICO,"699, Deán Funes, Balvanera, Buenos Aires, Comuna 3, Ciudad Autónoma de Buenos Aires, C1231AAB, Argentina",DEAN FUNES,MEXICO y DEAN FUNES,3,-58.40657493,-34.61781124,MOTO-CARGAS,MOTO,CARGAS
2017-0080,1,2017-06-22,2017,6,22,,1970-01-01 00:00:00.000000010,AV. JUAN B ALBERDI Y AV. ESCALADA,AVENIDA,"ALBERDI, JUAN BAUTISTA AV.","800, Escalada, Villa Luro, Buenos Aires, Comuna 10, Ciudad Autónoma de Buenos Aires, C1440AAA, Argentina",ESCALADA AV.,"ALBERDI, JUAN BAUTISTA AV. y ESCALADA AV.",9,-58.49525314,-34.64487785,PEATON-CARGAS,PEATON,CARGAS
2017-0082,1,2017-06-25,2017,6,25,,1970-01-01 00:00:00.000000022,AV. ENTRE RIOS Y AV. BRASIL,AVENIDA,ENTRE RIOS AV.,"1800, Brasil, Constitución, Buenos Aires, Comuna 1, Ciudad Autónoma de Buenos Aires, 1134, Argentina",BRASIL,ENTRE RIOS AV. y BRASIL,4,-58.39092851,-34.62932696,PEATON-AUTO,PEATON,AUTO
2017-0083,1,2017-07-04,2017,7,4,,1970-01-01 00:00:00.000000000,AV. JUAN B ALBERDI Y GUARDIA NACIONAL,AVENIDA,"ALBERDI, JUAN BAUTISTA AV.","901, Guardia Nacional, Mataderos, Buenos Aires, Comuna 9, Ciudad Autónoma de Buenos Aires, C1440AAO, Argentina",GUARDIA NACIONAL,"ALBERDI, JUAN BAUTISTA AV. y GUARDIA NACIONAL",9,-58.49603546,-34.64564271,MOTO-CARGAS,MOTO,CARGAS
2017-0084,1,2017-07-05,2017,7,5,,1970-01-01 00:00:00.000000012,AV. DEL LIBERTADOR Y RODRIGUEZ PEÑA,AVENIDA,DEL LIBERTADOR AV.,"902, Avenida Del Libertador, Recoleta, Buenos Aires, Comuna 2, Ciudad Autónoma de Buenos Aires, C1001ABJ, Argentina",RODRIGUEZ PE?A,DEL LIBERTADOR AV. y RODRIGUEZ PEÃ‘A,2,-58.38502878,-34.58703485,PEATON-PASAJEROS,PEATON,PASAJEROS
2017-0085,1,2017-07-07,2017,7,7,,1970-01-01 00:00:00.000000014,TACUARI Y AV. MARTIN GARCIA,AVENIDA,TACUARI,"599, Avenida Martín García, Barracas, Buenos Aires, Distrito de Las Artes, Comuna 4, Ciudad Autónoma de Buenos Aires, C1268ABP, Argentina","GARCIA, MARTIN AV.","TACUARI y GARCIA, MARTIN AV.",4,-58.37261143,-34.63150425,PEATON-PASAJEROS,PEATON,PASAJEROS
2017-0086,1,2017-07-09,2017,7,9,,1970-01-01 00:00:00.000000007,AV. RIVADAVIA Y MURGUIONDO,AVENIDA,RIVADAVIA AV.,"11003, Avenida Rivadavia, Liniers, Buenos Aires, Comuna 9, Ciudad Autónoma de Buenos Aires, C1408AAK, Argentina",MURGUIONDO,RIVADAVIA AV. y MURGUIONDO,9,-58.51876802,-34.63905965,PEATON-MOTO,PEATON,MOTO
2017-0087,1,2017-07-10,2017,7,10,,1970-01-01 00:00:00.000000010,24 DE NOVIEMBRE 390,CALLE,24 DE NOVIEMBRE,390.0,"Mia, Avenida Belgrano, Balvanera, Buenos Aires, Comuna 3, Ciudad Autónoma de Buenos Aires, 1209, Argentina",24 DE NOVIEMBRE 390,3,-58.41095567,-34.61516101,PEATON-AUTO,PEATON,AUTO
2017-0088,1,2017-07-10,2017,7,10,,1970-01-01 00:00:00.000000022,AV. PASEO COLON Y BRASIL,AVENIDA,PASEO COLON AV.,"Avenida Brasil, San Telmo, Buenos Aires, Distrito de Las Artes, Comuna 1, Ciudad Autónoma de Buenos Aires, C1063ADN, Argentina",BRASIL AV.,PASEO COLON AV. y BRASIL AV.,1,-58.36797542,-34.62519403,PEATON-PASAJEROS,PEATON,PASAJEROS
2017-0089,1,2017-07-13,2017,7,13,,1970-01-01 00:00:00.000000012,MARTINIANO LEGUIZAMON 901,CALLE,"LEGUIZAMON, MARTINIANO",901.0,"Hospital Santojanni, 950, Pilar, Liniers, Buenos Aires, Comuna 9, Ciudad Autónoma de Buenos Aires, C1408IGK, Argentina","LEGUIZAMON, MARTINIANO 901",9,-58.51514709,-34.64787051,SD-AUTO,SD,AUTO
